,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,-262000000.0,147000000.0,-163000000.0,-370000000.0,-282000000.0,
Repayment Of Debt,-820000000.0,-365000000.0,-1996000000.0,-24000000.0,-19000000.0,
Issuance Of Debt,1290000000.0,1093000000.0,318000000.0,1193000000.0,841000000.0,
Capital Expenditure,-971000000.0,-873000000.0,-1247000000.0,-1128000000.0,-1041000000.0,
End Cash Position,84000000.0,90000000.0,88000000.0,1023000000.0,87000000.0,
Beginning Cash Position,90000000.0,88000000.0,1023000000.0,87000000.0,349000000.0,
Changes In Cash,-6000000.0,2000000.0,-935000000.0,936000000.0,-262000000.0,
Financing Cash Flow,339000000.0,-50000000.0,-1781000000.0,1367000000.0,887000000.0,
Cash Flow From Continuing Financing Activities,339000000.0,-50000000.0,-1781000000.0,1367000000.0,887000000.0,
Net Other Financing Charges,3000000.0,-7000000.0,-1000000.0,-5000000.0,-3000000.0,
Cash Dividends Paid,-218000000.0,-217000000.0,-203000000.0,-203000000.0,-202000000.0,
Common Stock Dividend Paid,-218000000.0,-217000000.0,-203000000.0,-203000000.0,-202000000.0,
Net Issuance Payments Of Debt,554000000.0,174000000.0,-1577000000.0,1575000000.0,1092000000.0,
Net Short Term Debt Issuance,84000000.0,-554000000.0,101000000.0,406000000.0,270000000.0,
Net Long Term Debt Issuance,470000000.0,728000000.0,-1678000000.0,1169000000.0,822000000.0,
Long Term Debt Payments,-820000000.0,-365000000.0,-1996000000.0,-24000000.0,-19000000.0,
Long Term Debt Issuance,1290000000.0,1093000000.0,318000000.0,1193000000.0,841000000.0,
Investing Cash Flow,-1054000000.0,-968000000.0,-238000000.0,-1189000000.0,-1908000000.0,
Cash Flow From Continuing Investing Activities,-1054000000.0,-968000000.0,-238000000.0,-1189000000.0,-1908000000.0,
Net Other Investing Changes,-88000000.0,-95000000.0,-26000000.0,-63000000.0,-31000000.0,
Dividends Received Cfi,4000000.0,3000000.0,10000000.0,1000000.0,16000000.0,
Net Investment Purchase And Sale,1000000.0,-3000000.0,1048000000.0,1000000.0,-851000000.0,
Sale Of Investment,232000000.0,139000000.0,1167000000.0,91000000.0,239000000.0,
Purchase Of Investment,-231000000.0,-142000000.0,-119000000.0,-90000000.0,-1090000000.0,
Net Business Purchase And Sale,0.0,0.0,-23000000.0,0.0,-1000000.0,
Purchase Of Business,0.0,0.0,-23000000.0,0.0,-1000000.0,
Capital Expenditure Reported,-971000000.0,-873000000.0,-1247000000.0,-1128000000.0,-1041000000.0,
Operating Cash Flow,709000000.0,1020000000.0,1084000000.0,758000000.0,759000000.0,
Cash Flow From Continuing Operating Activities,709000000.0,1020000000.0,1084000000.0,758000000.0,759000000.0,
Dividend Received Cfo,0.0,1000000.0,1000000.0,0.0,2000000.0,
Change In Working Capital,62000000.0,183000000.0,147000000.0,-12000000.0,-37000000.0,
Change In Other Working Capital,181000000.0,35000000.0,81000000.0,116000000.0,177000000.0,
Change In Other Current Liabilities,-72000000.0,121000000.0,,,-50000000.0,90000000.0
Change In Payables And Accrued Expense,39000000.0,-2000000.0,134000000.0,2000000.0,88000000.0,
Change In Payable,39000000.0,-2000000.0,134000000.0,2000000.0,88000000.0,
Change In Account Payable,39000000.0,-2000000.0,134000000.0,2000000.0,88000000.0,
Change In Inventory,-215000000.0,90000000.0,146000000.0,-227000000.0,-117000000.0,
Change In Receivables,129000000.0,-61000000.0,-214000000.0,137000000.0,-135000000.0,
Changes In Account Receivables,129000000.0,-61000000.0,-214000000.0,137000000.0,-135000000.0,
Other Non Cash Items,-56000000.0,-35000000.0,401000000.0,3000000.0,-52000000.0,
Deferred Tax,-4000000.0,-19000000.0,178000000.0,-116000000.0,109000000.0,
Deferred Income Tax,-4000000.0,-19000000.0,178000000.0,-116000000.0,109000000.0,
Depreciation Amortization Depletion,484000000.0,452000000.0,44000000.0,417000000.0,448000000.0,
Depreciation And Amortization,484000000.0,452000000.0,44000000.0,417000000.0,448000000.0,
Operating Gains Losses,-6000000.0,-7000000.0,21000000.0,-11000000.0,-33000000.0,
Earnings Losses From Equity Investments,-4000000.0,-7000000.0,21000000.0,-12000000.0,-32000000.0,
Net Income From Continuing Operations,229000000.0,445000000.0,292000000.0,477000000.0,322000000.0,
