,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Preferred Shares Number,1600000.0,1600000.0,1600000.0,1600000.0,1600000.0,
Ordinary Shares Number,696000000.0,701109524.0,702000000.0,704000000.0,712000000.0,
Share Issued,696000000.0,701109524.0,702000000.0,704000000.0,712000000.0,
Net Debt,1865000000.0,389000000.0,10537000000.0,7186000000.0,346000000.0,
Total Debt,59695000000.0,52795000000.0,51089000000.0,55003000000.0,53160000000.0,
Tangible Book Value,32311000000.0,31202000000.0,25954000000.0,29707000000.0,29540000000.0,
Invested Capital,92006000000.0,83997000000.0,81353000000.0,84710000000.0,82700000000.0,
Net Tangible Assets,32311000000.0,31202000000.0,25954000000.0,29707000000.0,29540000000.0,
Common Stock Equity,32311000000.0,31202000000.0,30264000000.0,29707000000.0,29540000000.0,
Total Capitalization,90513000000.0,82438000000.0,79979000000.0,83253000000.0,81061000000.0,
Total Equity Gross Minority Interest,32311000000.0,31202000000.0,30264000000.0,29707000000.0,29540000000.0,
Stockholders Equity,32311000000.0,31202000000.0,30264000000.0,29707000000.0,29540000000.0,
Gains Losses Not Affecting Retained Earnings,-3248000000.0,-3366000000.0,-3395000000.0,-3195000000.0,-3200000000.0,
Foreign Currency Translation Adjustments,-2792000000.0,-2907000000.0,-2924000000.0,-2706000000.0,-2707000000.0,
Minimum Pension Liabilities,-450000000.0,-453000000.0,-462000000.0,-483000000.0,-483000000.0,
Unrealized Gain Loss,-6000000.0,-6000000.0,-9000000.0,-6000000.0,-10000000.0,
Retained Earnings,24367000000.0,23391000000.0,22148000000.0,21466000000.0,21265000000.0,
Additional Paid In Capital,11052000000.0,11037000000.0,11370000000.0,11295000000.0,11332000000.0,
Capital Stock,140000000.0,140000000.0,141000000.0,141000000.0,143000000.0,
Common Stock,140000000.0,140000000.0,141000000.0,141000000.0,143000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,263245000000.0,251042000000.0,241197000000.0,241272000000.0,242679000000.0,
Employee Benefits,,,2676000000.0,,,
Non Current Deferred Liabilities,,,4042000000.0,,,
Non Current Deferred Revenue,,,4042000000.0,,,
Long Term Debt And Capital Lease Obligation,58202000000.0,51236000000.0,49715000000.0,53546000000.0,51521000000.0,
Long Term Debt,58202000000.0,51236000000.0,49715000000.0,53546000000.0,51521000000.0,
Current Debt And Capital Lease Obligation,1493000000.0,1559000000.0,1374000000.0,1457000000.0,1639000000.0,
Current Debt,1493000000.0,1559000000.0,1374000000.0,1457000000.0,1639000000.0,
Other Current Borrowings,1493000000.0,1559000000.0,1374000000.0,1457000000.0,1639000000.0,
Payables And Accrued Expenses,14121000000.0,13564000000.0,17391000000.0,13162000000.0,13145000000.0,
Current Accrued Expenses,,,2121000000.0,,,
Payables,14121000000.0,13564000000.0,15270000000.0,13162000000.0,13145000000.0,
Total Tax Payable,,,1386000000.0,,,
Income Tax Payable,,,1386000000.0,,,
Accounts Payable,14121000000.0,13564000000.0,13884000000.0,13162000000.0,13145000000.0,
Total Assets,295556000000.0,282244000000.0,271461000000.0,270979000000.0,272219000000.0,
Investments And Advances,1258000000.0,1110000000.0,1240000000.0,1268000000.0,1210000000.0,
Available For Sale Securities,270000000.0,1110000000.0,287000000.0,401000000.0,396000000.0,
Goodwill And Other Intangible Assets,,,4310000000.0,,,
Other Intangible Assets,,,123000000.0,,,
Goodwill,,,4187000000.0,,,
Net PPE,5662000000.0,5383000000.0,6175000000.0,5308000000.0,5247000000.0,
Accumulated Depreciation,-11369000000.0,-11130000000.0,-10739000000.0,-10867000000.0,-10532000000.0,
Gross PPE,17031000000.0,16513000000.0,16914000000.0,16175000000.0,15779000000.0,
Other Properties,,,16914000000.0,,,
Other Short Term Investments,988000000.0,,953000000.0,867000000.0,814000000.0,1828000000.0
Cash And Cash Equivalents,57830000000.0,52406000000.0,40552000000.0,47817000000.0,52814000000.0,
Cash Equivalents,101000000.0,173000000.0,139000000.0,32000000.0,107000000.0,
Cash Financial,3109000000.0,3010000000.0,3407000000.0,3192000000.0,6674000000.0,
Cash Cash Equivalents And Federal Funds Sold,57937000000.0,52508000000.0,40640000000.0,47918000000.0,52895000000.0,
