,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Preferred Shares Number,546024.0,546024.0,546024.0,546024.0,546024.0,
Ordinary Shares Number,403674062.0,404463735.0,405431361.0,407000000.0,407883027.0,
Share Issued,403674062.0,404463735.0,405431361.0,407000000.0,407883027.0,
Net Debt,2713000000.0,2788000000.0,2751000000.0,2919000000.0,2907000000.0,
Total Debt,3258000000.0,3483000000.0,3471000000.0,3394000000.0,3817000000.0,
Tangible Book Value,455000000.0,239000000.0,14000000.0,-83000000.0,-283000000.0,
Invested Capital,8245000000.0,8061000000.0,7814000000.0,7842000000.0,7881000000.0,
Working Capital,2094000000.0,2006000000.0,1813000000.0,1874000000.0,1245000000.0,
Net Tangible Assets,510000000.0,294000000.0,69000000.0,-28000000.0,-228000000.0,
Capital Lease Obligations,,159000000.0,156000000.0,,158000000.0,
Common Stock Equity,4987000000.0,4737000000.0,4499000000.0,4448000000.0,4222000000.0,
Preferred Stock Equity,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,
Total Capitalization,8295000000.0,8109000000.0,7863000000.0,7896000000.0,7154000000.0,
Total Equity Gross Minority Interest,5042000000.0,4792000000.0,4554000000.0,4503000000.0,4277000000.0,
Stockholders Equity,5042000000.0,4792000000.0,4554000000.0,4503000000.0,4277000000.0,
Gains Losses Not Affecting Retained Earnings,-1749000000.0,-1830000000.0,-1878000000.0,-1798000000.0,-1858000000.0,
Other Equity Adjustments,-1749000000.0,-1830000000.0,-1878000000.0,-1798000000.0,-1858000000.0,
Retained Earnings,3434000000.0,3068000000.0,2766000000.0,2453000000.0,2186000000.0,
Additional Paid In Capital,2898000000.0,3095000000.0,3206000000.0,3386000000.0,3486000000.0,
Capital Stock,459000000.0,459000000.0,460000000.0,462000000.0,463000000.0,
Common Stock,404000000.0,404000000.0,405000000.0,407000000.0,408000000.0,
Preferred Stock,55000000.0,55000000.0,55000000.0,55000000.0,55000000.0,
Total Liabilities Net Minority Interest,6004000000.0,5980000000.0,5965000000.0,6055000000.0,6402000000.0,
Total Non Current Liabilities Net Minority Interest,4404000000.0,4432000000.0,4416000000.0,4538000000.0,4044000000.0,
Other Non Current Liabilities,486000000.0,316000000.0,309000000.0,432000000.0,311000000.0,
Employee Benefits,665000000.0,679000000.0,679000000.0,713000000.0,735000000.0,
Non Current Pension And Other Postretirement Benefit Plans,665000000.0,679000000.0,679000000.0,713000000.0,735000000.0,
Long Term Debt And Capital Lease Obligation,3253000000.0,3437000000.0,3428000000.0,3393000000.0,2998000000.0,
Long Term Capital Lease Obligation,,120000000.0,119000000.0,,121000000.0,
Long Term Debt,3253000000.0,3317000000.0,3309000000.0,3393000000.0,2877000000.0,
Current Liabilities,1600000000.0,1548000000.0,1549000000.0,1517000000.0,2358000000.0,
Other Current Liabilities,181000000.0,139000000.0,134000000.0,227000000.0,188000000.0,
Current Debt And Capital Lease Obligation,5000000.0,46000000.0,43000000.0,1000000.0,819000000.0,
Current Capital Lease Obligation,,39000000.0,37000000.0,,37000000.0,
Current Debt,5000000.0,7000000.0,6000000.0,1000000.0,782000000.0,
Other Current Borrowings,,7000000.0,6000000.0,,782000000.0,
Pensionand Other Post Retirement Benefit Plans Current,263000000.0,235000000.0,305000000.0,288000000.0,235000000.0,
Payables And Accrued Expenses,1151000000.0,1128000000.0,1067000000.0,1001000000.0,1116000000.0,
Current Accrued Expenses,59000000.0,32000000.0,59000000.0,25000000.0,64000000.0,
Interest Payable,59000000.0,32000000.0,59000000.0,25000000.0,64000000.0,
Payables,1092000000.0,1096000000.0,1008000000.0,976000000.0,1052000000.0,
Total Tax Payable,64000000.0,105000000.0,60000000.0,59000000.0,81000000.0,
Accounts Payable,1028000000.0,991000000.0,948000000.0,917000000.0,971000000.0,
Total Assets,11046000000.0,10772000000.0,10519000000.0,10558000000.0,10679000000.0,
Total Non Current Assets,7352000000.0,7218000000.0,7157000000.0,7167000000.0,7076000000.0,
Other Non Current Assets,263000000.0,90000000.0,96000000.0,239000000.0,75000000.0,
Non Current Deferred Assets,31000000.0,32000000.0,35000000.0,39000000.0,32000000.0,
Non Current Deferred Taxes Assets,31000000.0,32000000.0,35000000.0,39000000.0,32000000.0,
Goodwill And Other Intangible Assets,4532000000.0,4498000000.0,4485000000.0,4531000000.0,4505000000.0,
Other Intangible Assets,467000000.0,470000000.0,475000000.0,484000000.0,489000000.0,
Goodwill,4065000000.0,4028000000.0,4010000000.0,4047000000.0,4016000000.0,
Net PPE,2526000000.0,2598000000.0,2541000000.0,2358000000.0,2464000000.0,
Accumulated Depreciation,-3316000000.0,-3217000000.0,-3150000000.0,-3193000000.0,-3140000000.0,
Gross PPE,5842000000.0,5815000000.0,5691000000.0,5551000000.0,5604000000.0,
Construction In Progress,383000000.0,335000000.0,309000000.0,263000000.0,237000000.0,
Other Properties,,158000000.0,155000000.0,1031000000.0,1179000000.0,1017000000.0
Machinery Furniture Equipment,4296000000.0,4194000000.0,4118000000.0,4173000000.0,4105000000.0,
Buildings And Improvements,1077000000.0,1044000000.0,1025000000.0,,,
Land And Improvements,86000000.0,84000000.0,84000000.0,84000000.0,83000000.0,
Properties,0.0,0.0,0.0,0.0,0.0,
Current Assets,3694000000.0,3554000000.0,3362000000.0,3391000000.0,3603000000.0,
Other Current Assets,283000000.0,215000000.0,249000000.0,239000000.0,235000000.0,
Inventory,1964000000.0,1902000000.0,1840000000.0,1902000000.0,1848000000.0,
Finished Goods,478000000.0,467000000.0,458000000.0,475000000.0,466000000.0,
Work In Process,959000000.0,948000000.0,903000000.0,923000000.0,901000000.0,
