,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Ordinary Shares Number,687500000.0,693700000.0,699100000.0,699000000.0,702300000.0
Share Issued,687500000.0,693700000.0,699100000.0,699000000.0,702300000.0
Net Debt,4587000000.0,4657000000.0,4529000000.0,4517000000.0,3591000000.0
Total Debt,5643000000.0,5644000000.0,5643000000.0,5640000000.0,4958000000.0
Tangible Book Value,6638000000.0,6650000000.0,6609000000.0,6712000000.0,6814000000.0
Invested Capital,11715000000.0,11735000000.0,11692000000.0,11793000000.0,11210000000.0
Working Capital,-447000000.0,-480000000.0,-486000000.0,-357000000.0,1000000.0
Net Tangible Assets,6638000000.0,6650000000.0,6609000000.0,6712000000.0,6814000000.0
Capital Lease Obligations,566000000.0,559000000.0,560000000.0,559000000.0,562000000.0
Common Stock Equity,6638000000.0,6650000000.0,6609000000.0,6712000000.0,6814000000.0
Total Capitalization,10721000000.0,10742000000.0,10700000000.0,10802000000.0,10220000000.0
Total Equity Gross Minority Interest,6777000000.0,6786000000.0,6777000000.0,6882000000.0,6989000000.0
Minority Interest,139000000.0,136000000.0,168000000.0,170000000.0,175000000.0
Stockholders Equity,6638000000.0,6650000000.0,6609000000.0,6712000000.0,6814000000.0
Gains Losses Not Affecting Retained Earnings,-74000000.0,-79000000.0,-83000000.0,-75000000.0,-78000000.0
Other Equity Adjustments,-74000000.0,-79000000.0,-83000000.0,-75000000.0,-78000000.0
Retained Earnings,-585000000.0,-668000000.0,-777000000.0,-674000000.0,-615000000.0
Additional Paid In Capital,7290000000.0,7390000000.0,7462000000.0,7454000000.0,7500000000.0
Capital Stock,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0
Common Stock,7000000.0,7000000.0,7000000.0,7000000.0,7000000.0
Total Liabilities Net Minority Interest,6183000000.0,6161000000.0,6271000000.0,6198000000.0,5418000000.0
Total Non Current Liabilities Net Minority Interest,4884000000.0,4873000000.0,4874000000.0,4882000000.0,4149000000.0
Other Non Current Liabilities,235000000.0,222000000.0,223000000.0,233000000.0,181000000.0
Long Term Debt And Capital Lease Obligation,4649000000.0,4651000000.0,4651000000.0,4649000000.0,3968000000.0
Long Term Capital Lease Obligation,566000000.0,559000000.0,560000000.0,559000000.0,562000000.0
Long Term Debt,4083000000.0,4092000000.0,4091000000.0,4090000000.0,3406000000.0
Current Liabilities,1299000000.0,1288000000.0,1397000000.0,1316000000.0,1269000000.0
Current Debt And Capital Lease Obligation,994000000.0,993000000.0,992000000.0,991000000.0,990000000.0
Current Debt,994000000.0,993000000.0,992000000.0,991000000.0,990000000.0
Line Of Credit,994000000.0,993000000.0,992000000.0,991000000.0,990000000.0
Payables And Accrued Expenses,305000000.0,295000000.0,405000000.0,325000000.0,279000000.0
Payables,305000000.0,295000000.0,405000000.0,325000000.0,279000000.0
Dueto Related Parties Current,44000000.0,34000000.0,54000000.0,77000000.0,53000000.0
Accounts Payable,261000000.0,261000000.0,351000000.0,248000000.0,226000000.0
Total Assets,12960000000.0,12947000000.0,13048000000.0,13080000000.0,12407000000.0
Total Non Current Assets,12108000000.0,12139000000.0,12137000000.0,12121000000.0,11137000000.0
Other Non Current Assets,527000000.0,516000000.0,506000000.0,448000000.0,413000000.0
Investments And Advances,223000000.0,203000000.0,166000000.0,162000000.0,156000000.0
Long Term Equity Investment,223000000.0,203000000.0,166000000.0,162000000.0,156000000.0
Net PPE,11358000000.0,11420000000.0,11465000000.0,11511000000.0,10568000000.0
Accumulated Depreciation,-10238000000.0,-10096000000.0,-9900000000.0,-9717000000.0,-9539000000.0
Gross PPE,21596000000.0,21516000000.0,21365000000.0,21228000000.0,20107000000.0
Construction In Progress,298000000.0,322000000.0,299000000.0,244000000.0,174000000.0
Other Properties,563000000.0,558000000.0,559000000.0,549000000.0,551000000.0
Machinery Furniture Equipment,2622000000.0,2584000000.0,2546000000.0,2521000000.0,2485000000.0
Buildings And Improvements,15656000000.0,15596000000.0,15504000000.0,15452000000.0,14858000000.0
Land And Improvements,2457000000.0,2456000000.0,2457000000.0,2462000000.0,2039000000.0
Properties,0.0,0.0,0.0,0.0,0.0
Current Assets,852000000.0,808000000.0,911000000.0,959000000.0,1270000000.0
Restricted Cash,279000000.0,264000000.0,242000000.0,240000000.0,242000000.0
Receivables,83000000.0,116000000.0,115000000.0,155000000.0,223000000.0
Duefrom Related Parties Current,83000000.0,116000000.0,36000000.0,77000000.0,151000000.0
Notes Receivable,0.0,0.0,79000000.0,78000000.0,72000000.0
Cash Cash Equivalents And Short Term Investments,490000000.0,428000000.0,554000000.0,564000000.0,805000000.0
Cash And Cash Equivalents,490000000.0,428000000.0,554000000.0,564000000.0,805000000.0
