,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Preferred Shares Number,1279000.0,1279000.0,1279000.0,1279000.0,1279000.0
Ordinary Shares Number,928037000.0,927882000.0,926283000.0,926146000.0,925880000.0
Share Issued,928037000.0,927882000.0,926283000.0,926146000.0,925880000.0
Net Debt,33600470000.0,31590938000.0,29560672000.0,31508961000.0,29306273000.0
Total Debt,34666551000.0,32262055000.0,31494568000.0,32289832000.0,29904620000.0
Tangible Book Value,52664626000.0,53403262000.0,53122644000.0,53007821000.0,53281112000.0
Invested Capital,87331177000.0,85665317000.0,84766453000.0,85297653000.0,83185732000.0
Working Capital,-828781000.0,-935839000.0,-219419000.0,-1362021000.0,-1023030000.0
Net Tangible Assets,52728574000.0,53467210000.0,53186592000.0,53071769000.0,53345060000.0
Capital Lease Obligations,,,615305000.0,,
Common Stock Equity,52664626000.0,53403262000.0,53887190000.0,53007821000.0,53281112000.0
Preferred Stock Equity,63948000.0,63948000.0,63948000.0,63948000.0,63948000.0
Total Capitalization,86874931000.0,85197133000.0,84605435000.0,84700864000.0,82760285000.0
Total Equity Gross Minority Interest,57306814000.0,58075438000.0,58616770000.0,57664092000.0,57923321000.0
Minority Interest,4578240000.0,4608228000.0,4665632000.0,4592323000.0,4578261000.0
Stockholders Equity,52728574000.0,53467210000.0,53951138000.0,53071769000.0,53345060000.0
Gains Losses Not Affecting Retained Earnings,-765507000.0,-349588000.0,-120215000.0,-572251000.0,-156053000.0
Other Equity Adjustments,-765507000.0,-349588000.0,-120215000.0,-572251000.0,-156053000.0
Retained Earnings,-1183239000.0,-812880000.0,-465913000.0,-851763000.0,-964620000.0
Additional Paid In Capital,54604092000.0,54556451000.0,54464055000.0,54422574000.0,54392526000.0
Capital Stock,73228000.0,73227000.0,73211000.0,73209000.0,73207000.0
Common Stock,9280000.0,9279000.0,9263000.0,9261000.0,9259000.0
Preferred Stock,63948000.0,63948000.0,63948000.0,63948000.0,63948000.0
Total Liabilities Net Minority Interest,40410236000.0,37917953000.0,36712139000.0,38241104000.0,35614097000.0
Total Non Current Liabilities Net Minority Interest,38262043000.0,35765455000.0,34069841000.0,35772225000.0,33476825000.0
Other Non Current Liabilities,4115686000.0,4035532000.0,2799601000.0,4143130000.0,4061600000.0
Derivative Product Liabilities,,,638000.0,,
Long Term Debt And Capital Lease Obligation,34146357000.0,31729923000.0,31269602000.0,31629095000.0,29415225000.0
Long Term Capital Lease Obligation,,,615305000.0,,
Long Term Debt,34146357000.0,31729923000.0,30654297000.0,31629095000.0,29415225000.0
Current Liabilities,2148193000.0,2152498000.0,2642298000.0,2468879000.0,2137272000.0
Other Current Liabilities,,,1951000.0,,
Current Deferred Liabilities,,,475292000.0,,
Current Deferred Revenue,,,475292000.0,,
Current Debt And Capital Lease Obligation,520194000.0,532132000.0,224966000.0,660737000.0,489395000.0
Current Debt,520194000.0,532132000.0,224966000.0,660737000.0,489395000.0
Line Of Credit,520194000.0,532132000.0,224966000.0,660737000.0,489395000.0
Payables And Accrued Expenses,1627999000.0,1620366000.0,1940089000.0,1808142000.0,1647877000.0
Payables,,,1940089000.0,,
Total Tax Payable,,,170762000.0,,
Income Tax Payable,,,141126000.0,,
Accounts Payable,,,1769327000.0,,
Total Assets,97717050000.0,95993391000.0,95328909000.0,95905196000.0,93537418000.0
Total Non Current Assets,96397638000.0,94776732000.0,92906030000.0,94798338000.0,92423176000.0
Other Non Current Assets,5274405000.0,5038705000.0,2513201000.0,4944799000.0,4793551000.0
Non Current Deferred Assets,,,3257000.0,,
Non Current Deferred Taxes Assets,,,3257000.0,,
Financial Assets,,,137429000.0,,
Investments And Advances,10618184000.0,10287314000.0,10079448000.0,10092765000.0,9764870000.0
Long Term Equity Investment,10618184000.0,10287314000.0,10079448000.0,10092765000.0,9764870000.0
Investment Properties,80505049000.0,79450713000.0,78488017000.0,79760774000.0,77864755000.0
Goodwill And Other Intangible Assets,,,764546000.0,,
Other Intangible Assets,,,764546000.0,,
Net PPE,,,920132000.0,,
Gross PPE,,,920132000.0,,
Other Properties,,,920132000.0,,
Current Assets,1319412000.0,1216659000.0,2422879000.0,1106858000.0,1114242000.0
Assets Held For Sale Current,253331000.0,545542000.0,248511000.0,325987000.0,515895000.0
Prepaid Assets,,,231299000.0,,
Receivables,,,624478000.0,,
Taxes Receivable,,,142420000.0,,
Notes Receivable,,,74594000.0,,
Accounts Receivable,,,407464000.0,,
Cash Cash Equivalents And Short Term Investments,1066081000.0,671117000.0,1318591000.0,780871000.0,598347000.0
Cash And Cash Equivalents,1066081000.0,671117000.0,1318591000.0,780871000.0,598347000.0
