,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,2529000000.0,1172000000.0,2513000000.0,8508000000.0,4846000000.0
Repurchase Of Capital Stock,-1345000000.0,-1164000000.0,-489000000.0,-444000000.0,-251000000.0
Repayment Of Debt,0.0,-2500000000.0,-539000000.0,0.0,0.0
Issuance Of Debt,,,0.0,-1000000.0,
Capital Expenditure,-764000000.0,-1328000000.0,-937000000.0,-783000000.0,-791000000.0
End Cash Position,8073000000.0,8732000000.0,13318000000.0,14688000000.0,11373000000.0
Beginning Cash Position,8732000000.0,13318000000.0,14688000000.0,11373000000.0,5671000000.0
Effect Of Exchange Rate Changes,374000000.0,156000000.0,-367000000.0,294000000.0,-82000000.0
Changes In Cash,-1033000000.0,-4742000000.0,-1003000000.0,3021000000.0,5784000000.0
Financing Cash Flow,-3556000000.0,-5755000000.0,-3009000000.0,-2425000000.0,1216000000.0
Cash Flow From Continuing Financing Activities,-3556000000.0,-5755000000.0,-3009000000.0,-2425000000.0,1216000000.0
Net Other Financing Charges,-194000000.0,-60000000.0,-42000000.0,-32000000.0,-220000000.0
Proceeds From Stock Option Exercised,12000000.0,19000000.0,12000000.0,5000000.0,73000000.0
Cash Dividends Paid,-2077000000.0,-2050000000.0,-1951000000.0,-1953000000.0,-1986000000.0
Common Stock Dividend Paid,-2077000000.0,-2050000000.0,-1951000000.0,-1953000000.0,-1986000000.0
Net Common Stock Issuance,-1345000000.0,-1164000000.0,-489000000.0,-444000000.0,-251000000.0
Common Stock Payments,-1345000000.0,-1164000000.0,-489000000.0,-444000000.0,-251000000.0
Net Issuance Payments Of Debt,48000000.0,-2500000000.0,-539000000.0,-1000000.0,3600000000.0
Net Long Term Debt Issuance,0.0,-2500000000.0,-539000000.0,-1000000.0,3600000000.0
Long Term Debt Payments,0.0,-2500000000.0,-539000000.0,0.0,0.0
Long Term Debt Issuance,,,0.0,-1000000.0,
Investing Cash Flow,-770000000.0,-1487000000.0,-1444000000.0,-3845000000.0,-1069000000.0
Cash Flow From Continuing Investing Activities,-770000000.0,-1487000000.0,-1444000000.0,-3845000000.0,-1069000000.0
Net Other Investing Changes,5000000.0,-20000000.0,-57000000.0,233000000.0,-289000000.0
Net Investment Purchase And Sale,-11000000.0,-139000000.0,-448000000.0,50000000.0,11000000.0
Sale Of Investment,601000000.0,456000000.0,7000000.0,50000000.0,60000000.0
Purchase Of Investment,-612000000.0,-595000000.0,-455000000.0,0.0,-49000000.0
Net Business Purchase And Sale,0.0,0.0,-2000000.0,-3345000000.0,0.0
Purchase Of Business,0.0,0.0,-2000000.0,-3345000000.0,0.0
Capital Expenditure Reported,-764000000.0,-1328000000.0,-937000000.0,-783000000.0,-791000000.0
Operating Cash Flow,3293000000.0,2500000000.0,3450000000.0,9291000000.0,5637000000.0
Cash Flow From Continuing Operating Activities,3293000000.0,2500000000.0,3450000000.0,9291000000.0,5637000000.0
Change In Working Capital,-2259000000.0,-3712000000.0,-1855000000.0,2582000000.0,-1012000000.0
Other Non Cash Items,335000000.0,109000000.0,599000000.0,2537000000.0,91000000.0
Stock Based Compensation,216000000.0,195000000.0,187000000.0,195000000.0,203000000.0
Deferred Tax,-448000000.0,-186000000.0,-616000000.0,-401000000.0,-181000000.0
Deferred Income Tax,-448000000.0,-186000000.0,-616000000.0,-401000000.0,-181000000.0
Depreciation Amortization Depletion,1119000000.0,1099000000.0,1197000000.0,1186000000.0,1132000000.0
Depreciation And Amortization,1119000000.0,1099000000.0,1197000000.0,1186000000.0,1132000000.0
Amortization Cash Flow,601000000.0,597000000.0,675000000.0,633000000.0,614000000.0
Amortization Of Intangibles,601000000.0,597000000.0,675000000.0,633000000.0,614000000.0
Depreciation,518000000.0,502000000.0,522000000.0,553000000.0,518000000.0
Operating Gains Losses,-99000000.0,-90000000.0,155000000.0,31000000.0,-57000000.0
Gain Loss On Investment Securities,-99000000.0,-90000000.0,155000000.0,31000000.0,-57000000.0
Net Income From Continuing Operations,4429000000.0,5085000000.0,3744000000.0,3161000000.0,5461000000.0
