,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,1120000000.0,268000000.0,139000000.0,2208000000.0,1790000000.0,
Repurchase Of Capital Stock,,,,27000000.0,,
Repayment Of Debt,-2308000000.0,-3702000000.0,-8612000000.0,-3268000000.0,-3369000000.0,
Issuance Of Debt,5728000000.0,11025000000.0,8811000000.0,5164000000.0,6150000000.0,
Issuance Of Capital Stock,11000000.0,11000000.0,,,14000000.0,6000000.0
Capital Expenditure,-2069000000.0,-2501000000.0,-1842000000.0,-2061000000.0,-2143000000.0,
Interest Paid Supplemental Data,871000000.0,631000000.0,813000000.0,918000000.0,487000000.0,
End Cash Position,1982000000.0,2550000000.0,1402000000.0,2574000000.0,2102000000.0,
Beginning Cash Position,2550000000.0,1402000000.0,2574000000.0,2102000000.0,2213000000.0,
Effect Of Exchange Rate Changes,7000000.0,0.0,-14000000.0,2000000.0,-1000000.0,
Changes In Cash,-575000000.0,1148000000.0,-1158000000.0,470000000.0,-110000000.0,
Financing Cash Flow,2057000000.0,6103000000.0,741000000.0,459000000.0,762000000.0,
Cash Flow From Continuing Financing Activities,2057000000.0,6103000000.0,741000000.0,459000000.0,762000000.0,
Net Other Financing Charges,-208000000.0,-65000000.0,1546000000.0,-349000000.0,-976000000.0,
Cash Dividends Paid,-1166000000.0,-1166000000.0,-1059000000.0,-1061000000.0,-1057000000.0,
Common Stock Dividend Paid,-1166000000.0,-1166000000.0,-1059000000.0,-1061000000.0,-1057000000.0,
Net Common Stock Issuance,11000000.0,11000000.0,55000000.0,-27000000.0,14000000.0,
Common Stock Payments,,,,27000000.0,,
Common Stock Issuance,11000000.0,11000000.0,,,14000000.0,6000000.0
Net Issuance Payments Of Debt,3420000000.0,7323000000.0,199000000.0,1896000000.0,2781000000.0,
Net Short Term Debt Issuance,2572000000.0,335000000.0,-7223000000.0,2274000000.0,-1014000000.0,
Short Term Debt Payments,0.0,-850000000.0,-7440000000.0,-826000000.0,-864000000.0,
Short Term Debt Issuance,2572000000.0,1185000000.0,217000000.0,3100000000.0,-150000000.0,
Net Long Term Debt Issuance,848000000.0,6988000000.0,7422000000.0,-378000000.0,3795000000.0,
Long Term Debt Payments,-2308000000.0,-2852000000.0,-1172000000.0,-2442000000.0,-2505000000.0,
Long Term Debt Issuance,3156000000.0,9840000000.0,8594000000.0,2064000000.0,6300000000.0,
Investing Cash Flow,-5821000000.0,-7724000000.0,-3880000000.0,-4258000000.0,-4805000000.0,
Cash Flow From Continuing Investing Activities,-5821000000.0,-7724000000.0,-3880000000.0,-4258000000.0,-4805000000.0,
Net Other Investing Changes,7000000.0,15000000.0,16000000.0,48000000.0,-32000000.0,
Net Investment Purchase And Sale,-3759000000.0,-5238000000.0,-2054000000.0,-2245000000.0,-2630000000.0,
Sale Of Investment,1624000000.0,1495000000.0,2578000000.0,2389000000.0,1621000000.0,
Purchase Of Investment,-5383000000.0,-6733000000.0,-4632000000.0,-4634000000.0,-4251000000.0,
Net PPE Purchase And Sale,-126000000.0,-153000000.0,-65000000.0,-89000000.0,-105000000.0,
Purchase Of PPE,-126000000.0,-153000000.0,-65000000.0,-89000000.0,-105000000.0,
Capital Expenditure Reported,-1943000000.0,-2348000000.0,-1777000000.0,-1972000000.0,-2038000000.0,
Operating Cash Flow,3189000000.0,2769000000.0,1981000000.0,4269000000.0,3933000000.0,
Cash Flow From Continuing Operating Activities,3189000000.0,2769000000.0,1981000000.0,4269000000.0,3933000000.0,
Dividend Received Cfo,58000000.0,123000000.0,170000000.0,319000000.0,152000000.0,
Change In Working Capital,44000000.0,10000000.0,-689000000.0,598000000.0,229000000.0,
Change In Other Current Liabilities,889000000.0,-151000000.0,-117000000.0,445000000.0,993000000.0,
Change In Other Current Assets,-845000000.0,161000000.0,-572000000.0,153000000.0,-764000000.0,
Other Non Cash Items,-87000000.0,-188000000.0,-296000000.0,208000000.0,348000000.0,
Deferred Tax,-112000000.0,-400000000.0,758000000.0,-72000000.0,224000000.0,
Deferred Income Tax,-112000000.0,-400000000.0,758000000.0,-72000000.0,224000000.0,
Depreciation Amortization Depletion,1857000000.0,1176000000.0,1582000000.0,1720000000.0,1471000000.0,
Depreciation And Amortization,1857000000.0,1176000000.0,1582000000.0,1720000000.0,1471000000.0,
Depreciation,1857000000.0,1176000000.0,1582000000.0,1720000000.0,1471000000.0,
Operating Gains Losses,-211000000.0,1584000000.0,-310000000.0,-96000000.0,213000000.0,
Earnings Losses From Equity Investments,-177000000.0,646000000.0,845000000.0,-237000000.0,-159000000.0,
Gain Loss On Investment Securities,39000000.0,964000000.0,-1006000000.0,342000000.0,523000000.0,
Net Foreign Currency Exchange Gain Loss,48000000.0,8000000.0,-84000000.0,31000000.0,-6000000.0,
Gain Loss On Sale Of Business,-121000000.0,-34000000.0,-65000000.0,-232000000.0,-145000000.0,
Net Income From Continuing Operations,1640000000.0,464000000.0,873000000.0,1592000000.0,1296000000.0,
