,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,554000000.0,-165000000.0,882000000.0,381000000.0,-1091000000.0,
Repayment Of Debt,-66000000.0,-144000000.0,-182000000.0,-163000000.0,-475000000.0,
Issuance Of Debt,2094000000.0,52000000.0,97000000.0,141000000.0,84000000.0,
Capital Expenditure,-231000000.0,-162000000.0,-540000000.0,-259000000.0,-240000000.0,
End Cash Position,2319000000.0,1532000000.0,1671000000.0,1733000000.0,1590000000.0,
Beginning Cash Position,1532000000.0,1671000000.0,1733000000.0,1590000000.0,2541000000.0,
Effect Of Exchange Rate Changes,39000000.0,18000000.0,-34000000.0,9000000.0,-8000000.0,
Changes In Cash,748000000.0,-157000000.0,-28000000.0,134000000.0,-943000000.0,
Financing Cash Flow,332000000.0,92000000.0,-737000000.0,-243000000.0,308000000.0,
Cash Flow From Continuing Financing Activities,332000000.0,92000000.0,-737000000.0,-243000000.0,308000000.0,
Net Other Financing Charges,-58000000.0,-46000000.0,-25000000.0,-26000000.0,-43000000.0,
Cash Dividends Paid,-251000000.0,-251000000.0,-250000000.0,-250000000.0,-230000000.0,
Common Stock Dividend Paid,-251000000.0,-251000000.0,-250000000.0,-250000000.0,-230000000.0,
Net Issuance Payments Of Debt,641000000.0,389000000.0,-462000000.0,33000000.0,581000000.0,
Net Short Term Debt Issuance,-1387000000.0,481000000.0,-377000000.0,55000000.0,972000000.0,
Net Long Term Debt Issuance,2028000000.0,-92000000.0,-85000000.0,-22000000.0,-391000000.0,
Long Term Debt Payments,-66000000.0,-144000000.0,-182000000.0,-163000000.0,-475000000.0,
Long Term Debt Issuance,2094000000.0,52000000.0,97000000.0,141000000.0,84000000.0,
Investing Cash Flow,-369000000.0,-246000000.0,-713000000.0,-263000000.0,-400000000.0,
Cash Flow From Continuing Investing Activities,-369000000.0,-246000000.0,-713000000.0,-263000000.0,-400000000.0,
Net Other Investing Changes,-22000000.0,13000000.0,132000000.0,-138000000.0,-29000000.0,
Net Investment Purchase And Sale,-122000000.0,-25000000.0,-91000000.0,79000000.0,-80000000.0,
Sale Of Investment,204000000.0,432000000.0,347000000.0,428000000.0,254000000.0,
Purchase Of Investment,-326000000.0,-457000000.0,-438000000.0,-349000000.0,-334000000.0,
Net Business Purchase And Sale,6000000.0,-72000000.0,-214000000.0,55000000.0,-51000000.0,
Purchase Of Business,6000000.0,-72000000.0,-214000000.0,55000000.0,-51000000.0,
Capital Expenditure Reported,-231000000.0,-162000000.0,-540000000.0,-259000000.0,-240000000.0,
Operating Cash Flow,785000000.0,-3000000.0,1422000000.0,640000000.0,-851000000.0,
Cash Flow From Continuing Operating Activities,785000000.0,-3000000.0,1422000000.0,640000000.0,-851000000.0,
Change In Working Capital,-366000000.0,-981000000.0,795000000.0,-509000000.0,-1845000000.0,
Change In Other Current Assets,-136000000.0,-36000000.0,65000000.0,-219000000.0,24000000.0,
Change In Payables And Accrued Expense,61000000.0,-157000000.0,217000000.0,-303000000.0,-1604000000.0,
Change In Accrued Expense,243000000.0,-487000000.0,427000000.0,-67000000.0,-1540000000.0,
Change In Payable,-182000000.0,330000000.0,-210000000.0,-236000000.0,-64000000.0,
Change In Account Payable,-182000000.0,330000000.0,-210000000.0,-236000000.0,-64000000.0,
Change In Inventory,-105000000.0,-331000000.0,324000000.0,-257000000.0,-115000000.0,
Change In Receivables,-186000000.0,-457000000.0,189000000.0,270000000.0,-150000000.0,
Other Non Cash Items,55000000.0,-65000000.0,1250000000.0,-1307000000.0,38000000.0,
Deferred Tax,-113000000.0,-25000000.0,-103000000.0,-7000000.0,-61000000.0,
Deferred Income Tax,-113000000.0,-25000000.0,-103000000.0,-7000000.0,-61000000.0,
Depreciation Amortization Depletion,279000000.0,269000000.0,271000000.0,266000000.0,263000000.0,
Depreciation And Amortization,279000000.0,269000000.0,271000000.0,266000000.0,263000000.0,
Operating Gains Losses,2000000.0,-51000000.0,-1236000000.0,1354000000.0,2000000.0,
Pension And Employee Benefit Expense,20000000.0,19000000.0,10000000.0,9000000.0,10000000.0,
Earnings Losses From Equity Investments,-18000000.0,-70000000.0,87000000.0,12000000.0,-8000000.0,
Gain Loss On Sale Of Business,0.0,0.0,,,0.0,-1333000000.0
Net Income From Continuing Operations,928000000.0,850000000.0,445000000.0,843000000.0,752000000.0,
