,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,3369000000.0,-5511000000.0,3148000000.0,-1728000000.0,3163000000.0,
Repurchase Of Capital Stock,-102000000.0,-370000000.0,-567000000.0,-354000000.0,-172000000.0,
Repayment Of Debt,-1031000000.0,-1599000000.0,-1608000000.0,-3191000000.0,-3368000000.0,
Issuance Of Debt,-116000000.0,5436000000.0,763000000.0,4466000000.0,4547000000.0,
Issuance Of Capital Stock,64000000.0,159000000.0,30000000.0,280000000.0,147000000.0,
Capital Expenditure,-442000000.0,-309000000.0,-803000000.0,-469000000.0,-422000000.0,
End Cash Position,10203000000.0,8417000000.0,11488000000.0,14161000000.0,13913000000.0,
Other Cash Adjustment Outside Changein Cash,,-397000000.0,,,,-375000000.0
Beginning Cash Position,8417000000.0,11488000000.0,14161000000.0,13913000000.0,10443000000.0,
Effect Of Exchange Rate Changes,169000000.0,163000000.0,-357000000.0,91000000.0,-219000000.0,
Changes In Cash,1220000000.0,-2837000000.0,-2316000000.0,157000000.0,3314000000.0,
Financing Cash Flow,-3380000000.0,3432000000.0,-5484000000.0,-894000000.0,-938000000.0,
Cash Flow From Continuing Financing Activities,-3380000000.0,3432000000.0,-5484000000.0,-894000000.0,-938000000.0,
Net Other Financing Charges,-1000000.0,-105000000.0,-17000000.0,-5000000.0,-7000000.0,
Cash Dividends Paid,-2194000000.0,-89000000.0,-4085000000.0,-2090000000.0,-2085000000.0,
Common Stock Dividend Paid,-2194000000.0,-89000000.0,-4085000000.0,-2090000000.0,-2085000000.0,
Net Common Stock Issuance,-38000000.0,-211000000.0,-537000000.0,-74000000.0,-25000000.0,
Common Stock Payments,-102000000.0,-370000000.0,-567000000.0,-354000000.0,-172000000.0,
Common Stock Issuance,64000000.0,159000000.0,30000000.0,280000000.0,147000000.0,
Net Issuance Payments Of Debt,-1147000000.0,3837000000.0,-845000000.0,1275000000.0,1179000000.0,
Net Long Term Debt Issuance,-1147000000.0,3837000000.0,-845000000.0,1275000000.0,1179000000.0,
Long Term Debt Payments,-1031000000.0,-1599000000.0,-1608000000.0,-3191000000.0,-3368000000.0,
Long Term Debt Issuance,-116000000.0,5436000000.0,763000000.0,4466000000.0,4547000000.0,
Investing Cash Flow,789000000.0,-1067000000.0,-783000000.0,2310000000.0,667000000.0,
Cash Flow From Continuing Investing Activities,789000000.0,-1067000000.0,-783000000.0,2310000000.0,667000000.0,
Net Other Investing Changes,300000000.0,30000000.0,-64000000.0,442000000.0,142000000.0,
Net Investment Purchase And Sale,838000000.0,-1502000000.0,222000000.0,1892000000.0,943000000.0,
Sale Of Investment,1196000000.0,1005000000.0,1464000000.0,2463000000.0,2218000000.0,
Purchase Of Investment,-358000000.0,-2507000000.0,-1242000000.0,-571000000.0,-1275000000.0,
Net Business Purchase And Sale,88000000.0,706000000.0,-145000000.0,433000000.0,-3000000.0,
Sale Of Business,225000000.0,748000000.0,17000000.0,561000000.0,14000000.0,
Purchase Of Business,-137000000.0,-42000000.0,-162000000.0,-128000000.0,-17000000.0,
Net PPE Purchase And Sale,-437000000.0,-301000000.0,-796000000.0,-457000000.0,-415000000.0,
Sale Of PPE,5000000.0,8000000.0,7000000.0,12000000.0,7000000.0,
Purchase Of PPE,-442000000.0,-309000000.0,-803000000.0,-469000000.0,-422000000.0,
Operating Cash Flow,3811000000.0,-5202000000.0,3951000000.0,-1259000000.0,3585000000.0,
Cash Flow From Continuing Operating Activities,3811000000.0,-5202000000.0,3951000000.0,-1259000000.0,3585000000.0,
Change In Working Capital,-710000000.0,-8521000000.0,1609000000.0,-4859000000.0,-139000000.0,
Other Non Cash Items,70000000.0,-227000000.0,-57000000.0,606000000.0,1331000000.0,
Stock Based Compensation,67000000.0,63000000.0,79000000.0,67000000.0,72000000.0,
Deferred Tax,364000000.0,95000000.0,-11000000.0,202000000.0,-29000000.0,
Deferred Income Tax,364000000.0,95000000.0,-11000000.0,202000000.0,-29000000.0,
Depreciation Amortization Depletion,279000000.0,267000000.0,276000000.0,268000000.0,269000000.0,
Depreciation And Amortization,279000000.0,267000000.0,276000000.0,268000000.0,269000000.0,
Operating Gains Losses,-62000000.0,-214000000.0,-158000000.0,-393000000.0,-320000000.0,
Earnings Losses From Equity Investments,-123000000.0,-264000000.0,-109000000.0,-419000000.0,-216000000.0,
Net Foreign Currency Exchange Gain Loss,61000000.0,50000000.0,-49000000.0,26000000.0,-104000000.0,
Net Income From Continuing Operations,3803000000.0,3335000000.0,2213000000.0,2850000000.0,2401000000.0,
