,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,-1520000000.0,-854000000.0,-1085000000.0,-913000000.0,-1228000000.0,
Repurchase Of Capital Stock,-1000000.0,-57000000.0,-2000000.0,-1000000.0,0.0,
Repayment Of Debt,-2347000000.0,-1064000000.0,-1123000000.0,-1019000000.0,147000000.0,
Issuance Of Debt,2517000000.0,2941000000.0,2237000000.0,2625000000.0,1768000000.0,
Issuance Of Capital Stock,9000000.0,10000000.0,1193000000.0,8000000.0,8000000.0,
Capital Expenditure,-2304000000.0,-2336000000.0,-2450000000.0,-1935000000.0,-1897000000.0,
Interest Paid Supplemental Data,448000000.0,243000000.0,391000000.0,240000000.0,300000000.0,
Income Tax Paid Supplemental Data,190000000.0,100000000.0,17000000.0,39000000.0,208000000.0,
End Cash Position,183000000.0,1762000000.0,1589000000.0,690000000.0,351000000.0,
Beginning Cash Position,1762000000.0,1589000000.0,690000000.0,351000000.0,834000000.0,
Effect Of Exchange Rate Changes,1000000.0,0.0,-2000000.0,-3000000.0,-9000000.0,
Changes In Cash,-1580000000.0,173000000.0,901000000.0,342000000.0,-474000000.0,
Financing Cash Flow,415000000.0,1476000000.0,2358000000.0,1448000000.0,918000000.0,
Cash Flow From Continuing Financing Activities,415000000.0,1476000000.0,2358000000.0,1448000000.0,918000000.0,
Net Other Financing Charges,-16000000.0,26000000.0,81000000.0,327000000.0,213000000.0,
Cash Dividends Paid,-429000000.0,-380000000.0,-400000000.0,-380000000.0,-401000000.0,
Preferred Stock Dividend Paid,,,-22000000.0,0.0,,
Common Stock Dividend Paid,-407000000.0,-380000000.0,-378000000.0,-380000000.0,-379000000.0,
Net Common Stock Issuance,8000000.0,-47000000.0,1191000000.0,7000000.0,8000000.0,
Common Stock Payments,-1000000.0,-57000000.0,-2000000.0,-1000000.0,0.0,
Common Stock Issuance,9000000.0,10000000.0,1193000000.0,8000000.0,8000000.0,
Net Issuance Payments Of Debt,852000000.0,1877000000.0,1486000000.0,1494000000.0,1098000000.0,
Net Short Term Debt Issuance,752000000.0,-70000000.0,372000000.0,-112000000.0,-319000000.0,
Short Term Debt Payments,,-70000000.0,,,-319000000.0,-498000000.0
Net Long Term Debt Issuance,100000000.0,1947000000.0,1114000000.0,1606000000.0,1417000000.0,
Long Term Debt Payments,-2417000000.0,-994000000.0,-1123000000.0,-1019000000.0,-351000000.0,
Long Term Debt Issuance,2517000000.0,2941000000.0,2237000000.0,2625000000.0,1768000000.0,
Investing Cash Flow,-2778000000.0,-2785000000.0,-2822000000.0,-2128000000.0,-2061000000.0,
Cash Flow From Continuing Investing Activities,-2778000000.0,-2785000000.0,-2822000000.0,-2128000000.0,-2061000000.0,
Net Other Investing Changes,,,12000000.0,3000000.0,9000000.0,-1000000.0
Net Investment Purchase And Sale,-474000000.0,-449000000.0,-393000000.0,-196000000.0,-173000000.0,
Sale Of Investment,251000000.0,329000000.0,238000000.0,262000000.0,225000000.0,
Purchase Of Investment,-725000000.0,-778000000.0,-631000000.0,-458000000.0,-398000000.0,
Capital Expenditure Reported,-2304000000.0,-2336000000.0,-2450000000.0,-1935000000.0,-1897000000.0,
Operating Cash Flow,784000000.0,1482000000.0,1365000000.0,1022000000.0,669000000.0,
Cash Flow From Continuing Operating Activities,784000000.0,1482000000.0,1365000000.0,1022000000.0,669000000.0,
Dividend Received Cfo,225000000.0,291000000.0,439000000.0,249000000.0,173000000.0,
Change In Working Capital,-355000000.0,-130000000.0,-406000000.0,-29000000.0,-446000000.0,
Change In Other Working Capital,-355000000.0,-130000000.0,-431000000.0,-29000000.0,-446000000.0,
Other Non Cash Items,-33000000.0,-3000000.0,13000000.0,12000000.0,-12000000.0,
Stock Based Compensation,13000000.0,-2000000.0,23000000.0,22000000.0,20000000.0,
Asset Impairment Charge,31000000.0,6000000.0,60000000.0,55000000.0,52000000.0,
Deferred Tax,176000000.0,-48000000.0,203000000.0,-189000000.0,-171000000.0,
Deferred Income Tax,176000000.0,-48000000.0,203000000.0,-189000000.0,-171000000.0,
Depreciation Amortization Depletion,653000000.0,640000000.0,626000000.0,614000000.0,603000000.0,
Depreciation And Amortization,653000000.0,640000000.0,626000000.0,614000000.0,603000000.0,
Operating Gains Losses,-445000000.0,-191000000.0,-582000000.0,-471000000.0,-421000000.0,
Earnings Losses From Equity Investments,-393000000.0,-325000000.0,-374000000.0,-454000000.0,-433000000.0,
Gain Loss On Investment Securities,-52000000.0,134000000.0,-208000000.0,-17000000.0,12000000.0,
Net Income From Continuing Operations,519000000.0,919000000.0,989000000.0,759000000.0,871000000.0,
