,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Free Cash Flow,179593000.0,253589000.0,179464000.0,279646000.0,184333000.0,
Repurchase Of Capital Stock,,,-296000.0,0.0,8000.0,-8000.0
Repayment Of Debt,-2075020000.0,-759204000.0,-485480000.0,-628462000.0,-817936000.0,
Issuance Of Debt,2044880000.0,949313000.0,614747000.0,711916000.0,546556000.0,
Capital Expenditure,-36536000.0,-27914000.0,-38860000.0,-36553000.0,-34594000.0,
Interest Paid Supplemental Data,,61250000.0,58831000.0,56143000.0,50005000.0,58241000.0
End Cash Position,67884000.0,107862000.0,75846000.0,80263000.0,64151000.0,
Beginning Cash Position,107862000.0,75846000.0,80263000.0,64151000.0,507870000.0,
Changes In Cash,-39978000.0,32016000.0,-4417000.0,16112000.0,-443719000.0,
Financing Cash Flow,-203330000.0,17826000.0,-93386000.0,-78713000.0,-437767000.0,
Cash Flow From Continuing Financing Activities,-203330000.0,17826000.0,-93386000.0,-78713000.0,-437767000.0,
Net Other Financing Charges,-10654000.0,-20825000.0,-64862000.0,-16207000.0,-9056000.0,
Proceeds From Stock Option Exercised,2902000.0,6028000.0,0.0,11351000.0,0.0,
Cash Dividends Paid,-165438000.0,-157486000.0,-157495000.0,-157311000.0,-157331000.0,
Common Stock Dividend Paid,-165438000.0,-157486000.0,-157495000.0,-157311000.0,-157331000.0,
Net Common Stock Issuance,,,-296000.0,0.0,8000.0,-8000.0
Common Stock Payments,,,-296000.0,0.0,8000.0,-8000.0
Net Issuance Payments Of Debt,-30140000.0,190109000.0,129267000.0,83454000.0,-271380000.0,
Net Short Term Debt Issuance,,,,,,0.0
Short Term Debt Payments,,,,,,0.0
Short Term Debt Issuance,,,,,,0.0
Net Long Term Debt Issuance,-30140000.0,190109000.0,129267000.0,83454000.0,-271380000.0,
Long Term Debt Payments,-2075020000.0,-759204000.0,-485480000.0,-628462000.0,-817936000.0,
Long Term Debt Issuance,2044880000.0,949313000.0,614747000.0,711916000.0,546556000.0,
Investing Cash Flow,-52777000.0,-267313000.0,-129355000.0,-221374000.0,-224879000.0,
Cash Flow From Continuing Investing Activities,-52777000.0,-267313000.0,-129355000.0,-221374000.0,-224879000.0,
Net Other Investing Changes,10728000.0,1944000.0,-71249000.0,24797000.0,-55622000.0,
Dividends Received Cfi,10000000.0,8000000.0,34003000.0,0.0,6500000.0,
Net Investment Purchase And Sale,-3587000.0,-6293000.0,3151000.0,14743000.0,8601000.0,
Sale Of Investment,175000.0,13000.0,3725000.0,14836000.0,8773000.0,
Purchase Of Investment,-3762000.0,-6306000.0,-574000.0,-93000.0,-172000.0,
Net Investment Properties Purchase And Sale,-28589000.0,-239116000.0,-27304000.0,-223188000.0,-148034000.0,
Sale Of Investment Properties,238158000.0,125997000.0,247286000.0,0.0,0.0,
Purchase Of Investment Properties,-266747000.0,-365113000.0,-274590000.0,-223188000.0,-148034000.0,
Net Business Purchase And Sale,-4793000.0,-3934000.0,-29096000.0,-1173000.0,-1730000.0,
Purchase Of Business,-4793000.0,-3934000.0,-29096000.0,-1173000.0,-1730000.0,
Capital Expenditure Reported,-36536000.0,-27914000.0,-38860000.0,-36553000.0,-34594000.0,
Operating Cash Flow,216129000.0,281503000.0,218324000.0,316199000.0,218927000.0,
Cash Flow From Continuing Operating Activities,216129000.0,281503000.0,218324000.0,316199000.0,218927000.0,
Dividend Received Cfo,15649000.0,13709000.0,27772000.0,13603000.0,12413000.0,
Change In Working Capital,-46380000.0,27334000.0,-31419000.0,78967000.0,-27081000.0,
Change In Other Current Liabilities,-650000.0,-1047000.0,-175000.0,349000.0,740000.0,
Change In Payables And Accrued Expense,-44742000.0,25385000.0,-40080000.0,59909000.0,-33776000.0,
Change In Payable,-44742000.0,25385000.0,-40080000.0,59909000.0,-33776000.0,
Change In Account Payable,-44742000.0,25385000.0,-40080000.0,59909000.0,-33776000.0,
Change In Prepaid Assets,-988000.0,2996000.0,8836000.0,18709000.0,5955000.0,
Other Non Cash Items,-782000.0,-1844000.0,-1432000.0,-1035000.0,-1683000.0,
Stock Based Compensation,2244000.0,1958000.0,1808000.0,1849000.0,1909000.0,
Provisionand Write Offof Assets,14000.0,-3000.0,-63000.0,-182000.0,19000.0,
Depreciation Amortization Depletion,151501000.0,151287000.0,148435000.0,146439000.0,145613000.0,
Depreciation And Amortization,151501000.0,151287000.0,148435000.0,146439000.0,145613000.0,
Operating Gains Losses,-137643000.0,-123716000.0,-228470000.0,-48929000.0,-11249000.0,
Earnings Losses From Equity Investments,-8977000.0,-13209000.0,-14539000.0,-11649000.0,-9652000.0,
Gain Loss On Investment Securities,-128666000.0,-110939000.0,-173285000.0,-5697000.0,-1597000.0,
Gain Loss On Sale Of Business,0.0,-330000.0,-40646000.0,-31583000.0,0.0,
Net Income From Continuing Operations,231526000.0,212778000.0,301693000.0,125487000.0,98986000.0,
