,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Ordinary Shares Number,299300000.0,299114679.0,298784865.0,298800000.0,298700000.0
Share Issued,299300000.0,299114679.0,298784865.0,298800000.0,298700000.0
Net Debt,17062000000.0,16390000000.0,16351000000.0,15643000000.0,14990000000.0
Total Debt,18045000000.0,16966000000.0,16566000000.0,16167000000.0,15768000000.0
Tangible Book Value,8170000000.0,8111000000.0,8006000000.0,7887000000.0,7779000000.0
Invested Capital,26076000000.0,24966000000.0,24460000000.0,23942000000.0,23468000000.0
Working Capital,-3000000.0,155000000.0,-731000000.0,512000000.0,457000000.0
Net Tangible Assets,8394000000.0,8335000000.0,8230000000.0,8111000000.0,8003000000.0
Capital Lease Obligations,139000000.0,111000000.0,112000000.0,112000000.0,79000000.0
Common Stock Equity,8170000000.0,8111000000.0,8006000000.0,7887000000.0,7779000000.0
Preferred Stock Equity,224000000.0,224000000.0,224000000.0,224000000.0,224000000.0
Total Capitalization,25175000000.0,24483000000.0,23424000000.0,23659000000.0,22920000000.0
Total Equity Gross Minority Interest,8971000000.0,8923000000.0,8748000000.0,8641000000.0,8541000000.0
Minority Interest,577000000.0,588000000.0,518000000.0,530000000.0,538000000.0
Stockholders Equity,8394000000.0,8335000000.0,8230000000.0,8111000000.0,8003000000.0
Gains Losses Not Affecting Retained Earnings,-41000000.0,-41000000.0,-41000000.0,-45000000.0,-45000000.0
Other Equity Adjustments,-41000000.0,-41000000.0,-41000000.0,-45000000.0,-45000000.0
Retained Earnings,2210000000.0,2174000000.0,2035000000.0,1928000000.0,1830000000.0
Additional Paid In Capital,5998000000.0,5975000000.0,6009000000.0,6001000000.0,5991000000.0
Capital Stock,227000000.0,227000000.0,227000000.0,227000000.0,227000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
Preferred Stock,224000000.0,224000000.0,224000000.0,224000000.0,224000000.0
Total Liabilities Net Minority Interest,28728000000.0,27372000000.0,27172000000.0,26176000000.0,25814000000.0
Total Non Current Liabilities Net Minority Interest,25532000000.0,24745000000.0,23651000000.0,23985000000.0,23286000000.0
Other Non Current Liabilities,409000000.0,370000000.0,407000000.0,427000000.0,429000000.0
Employee Benefits,93000000.0,95000000.0,96000000.0,102000000.0,103000000.0
Non Current Pension And Other Postretirement Benefit Plans,93000000.0,95000000.0,96000000.0,102000000.0,103000000.0
Non Current Deferred Liabilities,3199000000.0,3123000000.0,3047000000.0,2960000000.0,2909000000.0
Non Current Deferred Taxes Liabilities,3199000000.0,3123000000.0,3047000000.0,2960000000.0,2909000000.0
Long Term Debt And Capital Lease Obligation,16920000000.0,16259000000.0,15306000000.0,15660000000.0,14996000000.0
Long Term Capital Lease Obligation,139000000.0,111000000.0,112000000.0,112000000.0,79000000.0
Long Term Debt,16781000000.0,16148000000.0,15194000000.0,15548000000.0,14917000000.0
Long Term Provisions,747000000.0,725000000.0,728000000.0,761000000.0,769000000.0
Current Liabilities,3196000000.0,2627000000.0,3521000000.0,2191000000.0,2528000000.0
Other Current Liabilities,290000000.0,325000000.0,320000000.0,333000000.0,306000000.0
Current Debt And Capital Lease Obligation,1125000000.0,707000000.0,1260000000.0,507000000.0,772000000.0
Current Debt,1125000000.0,707000000.0,1260000000.0,507000000.0,772000000.0
Other Current Borrowings,1125000000.0,707000000.0,1195000000.0,507000000.0,772000000.0
Current Notes Payable,0.0,0.0,65000000.0,0.0,0.0
Payables And Accrued Expenses,1781000000.0,1595000000.0,1941000000.0,1351000000.0,1450000000.0
Current Accrued Expenses,174000000.0,170000000.0,194000000.0,214000000.0,205000000.0
Interest Payable,170000000.0,168000000.0,156000000.0,161000000.0,155000000.0
Payables,1607000000.0,1425000000.0,1747000000.0,1137000000.0,1245000000.0
Dueto Related Parties Current,7000000.0,8000000.0,8000000.0,7000000.0,7000000.0
Total Tax Payable,461000000.0,474000000.0,654000000.0,183000000.0,449000000.0
Accounts Payable,1139000000.0,943000000.0,1085000000.0,947000000.0,789000000.0
Total Assets,37699000000.0,36295000000.0,35920000000.0,34817000000.0,34355000000.0
Total Non Current Assets,34506000000.0,33513000000.0,33130000000.0,32114000000.0,31370000000.0
Other Non Current Assets,254000000.0,310000000.0,384000000.0,198000000.0,263000000.0
Defined Pension Benefit,1705000000.0,1666000000.0,1627000000.0,1591000000.0,1550000000.0
Non Current Accounts Receivable,68000000.0,20000000.0,20000000.0,20000000.0,22000000.0
Investments And Advances,62000000.0,71000000.0,69000000.0,74000000.0,73000000.0
Net PPE,28847000000.0,27903000000.0,27461000000.0,26671000000.0,25877000000.0
Accumulated Depreciation,-9865000000.0,-9798000000.0,-9569000000.0,-9312000000.0,-9160000000.0
Gross PPE,38712000000.0,37701000000.0,37030000000.0,35983000000.0,35037000000.0
Construction In Progress,2750000000.0,2420000000.0,2098000000.0,1827000000.0,1357000000.0
Other Properties,1592000000.0,1529000000.0,30000000.0,1490000000.0,1485000000.0
Current Assets,3193000000.0,2782000000.0,2790000000.0,2703000000.0,2985000000.0
Other Current Assets,272000000.0,288000000.0,332000000.0,272000000.0,283000000.0
Current Deferred Assets,324000000.0,360000000.0,448000000.0,277000000.0,309000000.0
Current Deferred Taxes Assets,324000000.0,360000000.0,448000000.0,277000000.0,309000000.0
Restricted Cash,81000000.0,61000000.0,75000000.0,55000000.0,90000000.0
Inventory,736000000.0,580000000.0,769000000.0,884000000.0,779000000.0
Other Inventories,402000000.0,247000000.0,435000000.0,536000000.0,419000000.0
Receivables,936000000.0,1028000000.0,1063000000.0,803000000.0,825000000.0
Duefrom Related Parties Current,12000000.0,12000000.0,14000000.0,9000000.0,8000000.0
Accounts Receivable,924000000.0,1016000000.0,1049000000.0,794000000.0,817000000.0
Allowance For Doubtful Accounts Receivable,-30000000.0,-29000000.0,-23000000.0,-22000000.0,-23000000.0
Gross Accounts Receivable,954000000.0,1045000000.0,1072000000.0,816000000.0,840000000.0
Cash Cash Equivalents And Short Term Investments,844000000.0,465000000.0,103000000.0,412000000.0,699000000.0
Cash And Cash Equivalents,844000000.0,465000000.0,103000000.0,412000000.0,699000000.0
