,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,5301000000.0,18953000000.0,24837000000.0,17637000000.0,13454000000.0
Repurchase Of Capital Stock,-13638000000.0,-15068000000.0,-15551000000.0,-15291000000.0,-15684000000.0
Repayment Of Debt,-13876000000.0,-4521000000.0,-3750000000.0,-3449000000.0,-2423000000.0
Issuance Of Debt,26846000000.0,4532000000.0,4895000000.0,3819000000.0,2893000000.0
Capital Expenditure,-22446000000.0,-17197000000.0,-14276000000.0,-13061000000.0,-13186000000.0
End Cash Position,21036000000.0,23264000000.0,23466000000.0,19959000000.0,27225000000.0
Beginning Cash Position,23264000000.0,23466000000.0,19959000000.0,27225000000.0,24493000000.0
Effect Of Exchange Rate Changes,401000000.0,43000000.0,-390000000.0,141000000.0,-238000000.0
Changes In Cash,-2629000000.0,-245000000.0,3897000000.0,-7407000000.0,2970000000.0
Financing Cash Flow,-5832000000.0,-20201000000.0,-19036000000.0,-20094000000.0,-20889000000.0
Cash Flow From Continuing Financing Activities,-5832000000.0,-20201000000.0,-19036000000.0,-20094000000.0,-20889000000.0
Net Other Financing Charges,0.0,400000000.0,861000000.0,285000000.0,0.0
Proceeds From Stock Option Exercised,-2621000000.0,-3110000000.0,-3049000000.0,-3003000000.0,-3209000000.0
Cash Dividends Paid,-2543000000.0,-2434000000.0,-2442000000.0,-2455000000.0,-2466000000.0
Common Stock Dividend Paid,-2543000000.0,-2434000000.0,-2442000000.0,-2455000000.0,-2466000000.0
Net Common Stock Issuance,-13638000000.0,-15068000000.0,-15551000000.0,-15291000000.0,-15684000000.0
Common Stock Payments,-13638000000.0,-15068000000.0,-15551000000.0,-15291000000.0,-15684000000.0
Net Issuance Payments Of Debt,12970000000.0,11000000.0,1145000000.0,370000000.0,470000000.0
Net Long Term Debt Issuance,12970000000.0,11000000.0,1145000000.0,370000000.0,470000000.0
Long Term Debt Payments,-13876000000.0,-4521000000.0,-3750000000.0,-3449000000.0,-2423000000.0
Long Term Debt Issuance,26846000000.0,4532000000.0,4895000000.0,3819000000.0,2893000000.0
Investing Cash Flow,-24544000000.0,-16194000000.0,-16180000000.0,-18011000000.0,-2781000000.0
Cash Flow From Continuing Investing Activities,-24544000000.0,-16194000000.0,-16180000000.0,-18011000000.0,-2781000000.0
Net Other Investing Changes,-513000000.0,150000000.0,-167000000.0,-2468000000.0,-133000000.0
Net Investment Purchase And Sale,-1572000000.0,1193000000.0,-1646000000.0,271000000.0,10564000000.0
Sale Of Investment,21199000000.0,20604000000.0,21799000000.0,23329000000.0,33884000000.0
Purchase Of Investment,-22771000000.0,-19411000000.0,-23445000000.0,-23058000000.0,-23320000000.0
Net Business Purchase And Sale,-13000000.0,-340000000.0,-91000000.0,-2753000000.0,-26000000.0
Purchase Of Business,-13000000.0,-340000000.0,-91000000.0,-2753000000.0,-26000000.0
Net PPE Purchase And Sale,-22446000000.0,-17197000000.0,-14276000000.0,-13061000000.0,-13186000000.0
Purchase Of PPE,-22446000000.0,-17197000000.0,-14276000000.0,-13061000000.0,-13186000000.0
Operating Cash Flow,27747000000.0,36150000000.0,39113000000.0,30698000000.0,26640000000.0
Cash Flow From Continuing Operating Activities,27747000000.0,36150000000.0,39113000000.0,30698000000.0,26640000000.0
Change In Working Capital,-10110000000.0,2238000000.0,3116000000.0,-3789000000.0,-5270000000.0
Change In Other Working Capital,-9495000000.0,7697000000.0,-2235000000.0,1529000000.0,-3539000000.0
Change In Other Current Assets,-1479000000.0,-1288000000.0,937000000.0,-802000000.0,-532000000.0
Change In Payables And Accrued Expense,3703000000.0,-5809000000.0,8984000000.0,-3085000000.0,1858000000.0
Change In Accrued Expense,3150000000.0,-4929000000.0,5786000000.0,-809000000.0,297000000.0
Change In Payable,553000000.0,-880000000.0,3198000000.0,-2276000000.0,1561000000.0
Change In Account Payable,553000000.0,-880000000.0,401000000.0,521000000.0,1561000000.0
Change In Receivables,-2839000000.0,1638000000.0,-4570000000.0,-1431000000.0,-3057000000.0
Changes In Account Receivables,-2839000000.0,1638000000.0,-4570000000.0,-1431000000.0,-3057000000.0
Other Non Cash Items,560000000.0,481000000.0,827000000.0,1407000000.0,851000000.0
Stock Based Compensation,5998000000.0,5516000000.0,5810000000.0,5846000000.0,5865000000.0
Deferred Tax,-444000000.0,-1152000000.0,-1448000000.0,-1071000000.0,-3157000000.0
Deferred Income Tax,-444000000.0,-1152000000.0,-1448000000.0,-1071000000.0,-3157000000.0
Depreciation Amortization Depletion,4998000000.0,4487000000.0,4205000000.0,3985000000.0,3708000000.0
Depreciation And Amortization,4998000000.0,4487000000.0,4205000000.0,3985000000.0,3708000000.0
Depreciation,4998000000.0,4487000000.0,4205000000.0,3985000000.0,3708000000.0
Operating Gains Losses,-1451000000.0,-9960000000.0,67000000.0,-1981000000.0,1024000000.0
Gain Loss On Investment Securities,-1451000000.0,-9960000000.0,67000000.0,-1981000000.0,1024000000.0
Net Income From Continuing Operations,28196000000.0,34540000000.0,26536000000.0,26301000000.0,23619000000.0
