,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Preferred Shares Number,11846000.0,20759000.0,21215539.0,21216000.0,21216000.0,
Ordinary Shares Number,677205011.0,679497438.0,679493522.0,674082065.0,674112166.0,
Share Issued,677205011.0,679497438.0,679493522.0,674082065.0,674112166.0,
Net Debt,7932165000.0,7892860000.0,7772554000.0,7513264000.0,7548344000.0,
Total Debt,8281104000.0,8140244000.0,8578375000.0,8423632000.0,7795865000.0,
Tangible Book Value,10520654000.0,10588255000.0,10652526000.0,10523192000.0,10578751000.0,
Invested Capital,18679372000.0,18612386000.0,19113702000.0,18825407000.0,18253460000.0,
Working Capital,744483000.0,629748000.0,744214000.0,796766000.0,177498000.0,
Net Tangible Assets,10520675000.0,10588276000.0,10652547000.0,10523213000.0,10578772000.0,
Capital Lease Obligations,122386000.0,116113000.0,117199000.0,121417000.0,121156000.0,
Common Stock Equity,10520654000.0,10588255000.0,10652526000.0,10523192000.0,10578751000.0,
Preferred Stock Equity,21000.0,21000.0,21000.0,21000.0,21000.0,
Total Capitalization,18679393000.0,18612407000.0,19113723000.0,18825428000.0,18253481000.0,
Total Equity Gross Minority Interest,10717976000.0,10780601000.0,10845789000.0,10742751000.0,10796617000.0,
Minority Interest,197301000.0,192325000.0,193242000.0,219538000.0,217845000.0,
Stockholders Equity,10520675000.0,10588276000.0,10652547000.0,10523213000.0,10578772000.0,
Gains Losses Not Affecting Retained Earnings,-7790000.0,-911000.0,11038000.0,-13485000.0,11236000.0,
Other Equity Adjustments,-7790000.0,-911000.0,11038000.0,-13485000.0,11236000.0,
Retained Earnings,-457405000.0,-443533000.0,-398792000.0,-387067000.0,-353310000.0,
Additional Paid In Capital,10979077000.0,11025904000.0,11033485000.0,10917003000.0,10914084000.0,
Capital Stock,6793000.0,6816000.0,6816000.0,6762000.0,6762000.0,
Common Stock,6772000.0,6795000.0,6795000.0,6741000.0,6741000.0,
Preferred Stock,21000.0,21000.0,21000.0,21000.0,21000.0,
Total Liabilities Net Minority Interest,9078579000.0,8950651000.0,9464107000.0,9386245000.0,8707560000.0,
Total Non Current Liabilities Net Minority Interest,8814894000.0,8686736000.0,9175831000.0,9070251000.0,8449101000.0,
Other Non Current Liabilities,533790000.0,546492000.0,597456000.0,646619000.0,653236000.0,
Long Term Debt And Capital Lease Obligation,8281104000.0,8140244000.0,8578375000.0,8423632000.0,7795865000.0,
Long Term Capital Lease Obligation,122386000.0,116113000.0,117199000.0,121417000.0,121156000.0,
Long Term Debt,8158718000.0,8024131000.0,8461176000.0,8302215000.0,7674709000.0,
Current Liabilities,263685000.0,263915000.0,288276000.0,315994000.0,258459000.0,
Payables And Accrued Expenses,263685000.0,263915000.0,288276000.0,315994000.0,258459000.0,
Payables,263685000.0,263915000.0,288276000.0,315994000.0,258459000.0,
Dividends Payable,6364000.0,6373000.0,6409000.0,6722000.0,6722000.0,
Accounts Payable,257321000.0,257542000.0,281867000.0,309272000.0,251737000.0,
Total Assets,19796555000.0,19731252000.0,20309896000.0,20128996000.0,19504177000.0,
Total Non Current Assets,18788387000.0,18837589000.0,19277406000.0,19016236000.0,19068220000.0,
Other Non Current Assets,329458000.0,291402000.0,578569000.0,770849000.0,764951000.0,
Non Current Deferred Assets,,,167041000.0,,,
Investments And Advances,1576700000.0,1584141000.0,1595022000.0,1598724000.0,1606723000.0,
Other Investments,109826000.0,107300000.0,107347000.0,106513000.0,105456000.0,
Long Term Equity Investment,1466874000.0,1476841000.0,1487675000.0,1492211000.0,1501267000.0,
Investmentsin Joint Venturesat Cost,1466874000.0,1476841000.0,1487675000.0,1492211000.0,1501267000.0,
Investment Properties,16751461000.0,16837121000.0,16810333000.0,16515749000.0,16565463000.0,
Net PPE,130768000.0,124925000.0,126441000.0,130914000.0,131083000.0,
Gross PPE,130768000.0,124925000.0,126441000.0,130914000.0,131083000.0,
Other Properties,130768000.0,124925000.0,126441000.0,130914000.0,131083000.0,
Current Assets,1008168000.0,893663000.0,1032490000.0,1112760000.0,435957000.0,
Assets Held For Sale Current,,,,,,1600000.0
Restricted Cash,1273000.0,1232000.0,1109000.0,1093000.0,1190000.0,
Receivables,780342000.0,761160000.0,340469000.0,320361000.0,306790000.0,
Other Receivables,79183000.0,82155000.0,82875000.0,82524000.0,63177000.0,
Loans Receivable,440991000.0,421849000.0,,,,
Accounts Receivable,260168000.0,257156000.0,257594000.0,237837000.0,243613000.0,
Cash Cash Equivalents And Short Term Investments,226553000.0,131271000.0,690912000.0,791306000.0,127977000.0,
Other Short Term Investments,,,2290000.0,2355000.0,1612000.0,2737000.0
Cash And Cash Equivalents,226553000.0,131271000.0,688622000.0,788951000.0,126365000.0,
